date,open,high,low,close,volume,barCount,average,MACD,MACD_Signal,MACD_Hist,K,D,J,EMA_12,EMA_26,MA_10,MA_20,MA_200,BB_Upper,BB_Middle,BB_Lower
2018-10-03 18:00:00,2929.0,2944.75,2924.75,2926.5,1216417,150347,2935.5,,,,,,,,,,,,,,
2018-10-04 18:00:00,2926.0,2926.25,2887.75,2910.5,2120042,262820,2906.25,,,,,,,,,,,,,,
2018-10-05 18:00:00,2910.0,2915.5,2873.25,2895.0,2241097,285563,2894.25,,,,,,,,,,,,,,
2018-10-08 18:00:00,2897.5,2898.25,2866.0,2892.5,1716819,249371,2883.0,,,,,,,,,,,,,,
2018-10-09 18:00:00,2892.25,2900.0,2874.5,2887.5,1725775,248191,2888.5,,,,,,,,,,,,,,
2018-10-10 18:00:00,2886.75,2891.25,2771.5,2772.75,3358417,459762,2836.5,,,,,,,,,,,,,,
2018-10-11 18:00:00,2776.5,2798.75,2712.25,2748.0,3920350,785986,2763.0,,,,,,,,,,,,,,
2018-10-12 18:00:00,2748.5,2785.0,2732.25,2772.25,2704868,497580,2761.75,,,,,,,,,,,,,,
2018-10-15 18:00:00,2770.0,2778.75,2745.25,2747.0,1708226,308577,2763.0,,,,,,,,,,,,,,
2018-10-16 18:00:00,2747.5,2819.0,2745.5,2816.5,1711716,270381,2789.5,,,,,,,,,2836.85,,,,,
2018-10-17 18:00:00,2816.25,2824.25,2783.25,2816.25,1883274,309695,2806.25,,,,38.27656717174344,,,,,2825.825,,,,,
2018-10-18 18:00:00,2813.25,2814.75,2756.5,2775.25,2159992,382208,2782.0,,,,44.479574869958014,,,2830.0,,2812.3,,,,,
2018-10-19 18:00:00,2774.75,2800.5,2762.25,2767.5,1947280,335485,2779.75,,,,38.05040047735405,40.26884750635184,33.61350641935847,2820.3846153846152,,2799.55,,,,,
2018-10-22 18:00:00,2758.0,2782.0,2749.75,2756.75,1616265,315137,2763.75,,,,29.281008314162438,37.27032788715817,13.302369168170983,2810.594674556213,,2785.975,,,,,
2018-10-23 18:00:00,2755.75,2757.5,2692.25,2746.0,2770158,497002,2722.75,,,,31.669154086125456,33.00018762588065,29.007087006615066,2800.6570323167953,,2771.825,,,,,
2018-10-24 18:00:00,2745.25,2750.0,2652.25,2674.75,2774701,508707,2705.0,,,,26.220475838004194,29.056879412764033,20.54766868848452,2781.286719652673,,2762.025,,,,,
2018-10-25 18:00:00,2673.75,2723.75,2658.75,2681.5,2466929,462488,2693.5,,,,23.602302090658075,27.16397733826258,16.478951595449068,2765.934916629185,,2755.375,,,,,
2018-10-26 18:00:00,2678.0,2692.75,2627.25,2662.25,3396826,641056,2659.5,,,,15.951235588076008,21.924671172246093,4.004364419735836,2749.9833909939257,,2744.375,,,,,
2018-10-29 18:00:00,2667.0,2707.0,2603.0,2639.5,2707907,520217,2665.5,,,,17.0898288522113,18.881122176981794,13.50724220267032,2732.9859462256295,,2733.625,,,,,
2018-10-30 18:00:00,2639.0,2690.25,2633.25,2689.75,2428365,513740,2659.75,,,,25.077265129813558,19.372776523366955,36.48624234270677,2726.3342621909173,,2720.95,2778.9,,,,
2018-10-31 18:00:00,2690.75,2737.25,2682.0,2706.0,2357629,401233,2717.5,,,,36.539065553890524,26.235386511971797,57.14642363772798,2723.2059141615455,,2709.925,2767.875,,,,
2018-11-01 18:00:00,2706.0,2741.25,2705.5,2734.0,1765904,323297,2727.0,,,,55.434793020764886,39.01704123482299,88.27029659264868,2724.866542752077,,2705.8,2759.05,,,,
2018-11-02 18:00:00,2724.0,2766.25,2699.5,2722.5,2297699,452776,2730.25,,,,66.17895627779727,52.71760495081757,93.10165893175666,2724.5024592517575,,2701.3,2750.425,,,,
2018-11-05 18:00:00,2722.5,2743.75,2712.75,2740.0,1270626,254325,2729.75,,,,76.76844587788199,66.12739839214805,98.05054084934986,2726.8866962899488,,2699.625,2742.8,,,,
2018-11-06 18:00:00,2739.0,2761.0,2729.75,2758.0,1229963,235003,2746.5,,,,84.02246043894803,75.65662086487576,100.75413958709257,2731.6733583991872,,2700.825,2736.325,,,,
2018-11-07 18:00:00,2756.75,2817.75,2744.75,2816.5,1839640,359779,2789.5,,,,92.76156552748847,84.51749061477284,109.24971535291974,2744.7236109531586,2771.346153846154,2715.0,2738.5125,,,,
2018-11-08 18:00:00,2815.75,2818.0,2795.0,2805.5,1286505,254954,2807.25,,,,96.18345851988153,90.98916149543936,106.57205256876586,2754.0738246526726,2773.8760683760684,2727.4,2741.3875,,,,
2018-11-09 18:00:00,2804.0,2811.25,2764.5,2778.75,1657267,300258,2783.0,,,,90.78634958648125,93.24379121128378,85.87146633687618,2757.8701593214923,2774.2371003482112,2739.05,2741.7125,,,,
2018-11-12 18:00:00,2778.75,2795.25,2722.25,2730.5,1871888,343217,2748.25,,,,69.5342952140987,85.50136777348719,37.60015009532174,2753.659365579724,2770.997315137233,2748.15,2740.8875,,,,
2018-11-13 18:00:00,2732.0,2755.75,2714.5,2728.75,2070545,408675,2733.75,,,,46.36679447816288,68.89581309291431,1.3087572486600152,2749.827155490536,2767.8678843863268,2752.05,2736.5,,,,
2018-11-14 18:00:00,2731.25,2748.25,2686.25,2702.0,2227047,439219,2716.75,,,,24.099922737553243,46.66700414327164,-21.034240073883552,2742.469131568915,2762.9887818391912,2751.65,2730.7875,,,,
2018-11-15 18:00:00,2702.0,2736.75,2671.25,2734.0,2335957,498292,2705.25,,,,26.46593302582431,32.310883413846845,14.776032249779234,2741.1661882506205,2760.841464665918,2751.65,2728.725,,,,
