ticker,sector
AAPL,Technology
AMD,Technology
MSFT,Technology
AMZN,Consumer Discretionary
GOOGL,Communication Services
GOOG,Communication Services
META,Communication Services
TSLA,Consumer Discretionary
NVDA,Technology
PYPL,Financials
ADBE,Technology
CSCO,Technology
INTC,Technology
IBM,Technology
ORCL,Technology
JPM,Financials
BAC,Financials
DIS,Communication Services
NFLX,Communication Services
HD,Consumer Discretionary
NKE,Consumer Discretionary
JNJ,Healthcare
V,Financials
MA,Financials
WMT,Consumer Staples
PG,Consumer Staples
KO,Consumer Staples
XOM,Energy
CVX,Energy
BA,Industrials
MCD,Consumer Discretionary
CRM,Technology
PFE,Healthcare
MRK,Healthcare
GE,Industrials
UPS,Industrials
T,Communication Services
VZ,Communication Services
C,Financials
COST,Consumer Staples
